value,flagInfo,parameter,period,coordinates,summary,coverage
211.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2020-12-31T18:30:00Z', 'local': '2021-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-01-31T18:30:00Z', 'local': '2021-02-01T00:00:00+05:30'}}",,"{'min': 70.79166412353516, 'q02': 80.56666717529296, 'q25': 141.72618865966797, 'median': 179.5, 'q75': 253.3541717529297, 'q98': 419.4166625976562, 'max': 425.2916564941406, 'avg': 211.05477782218688, 'sd': 95.76536344691222}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-12-31T18:30:00Z', 'local': '2021-01-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-01-31T18:30:00Z', 'local': '2021-02-01T00:00:00+05:30'}}"
154.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-01-31T18:30:00Z', 'local': '2021-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-02-28T18:30:00Z', 'local': '2021-03-01T00:00:00+05:30'}}",,"{'min': 47.71428680419922, 'q02': 51.35714340209961, 'q25': 122.49702453613281, 'median': 159.29166412353516, 'q75': 188.98511505126953, 'q98': 261.66666412353516, 'max': 298.0, 'avg': 153.79436346200796, 'sd': 56.29010572573918}","{'expectedCount': 28, 'expectedInterval': '672:00:00', 'observedCount': 28, 'observedInterval': '672:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-01-31T18:30:00Z', 'local': '2021-02-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-02-28T18:30:00Z', 'local': '2021-03-01T00:00:00+05:30'}}"
88.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-02-28T18:30:00Z', 'local': '2021-03-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-03-31T18:30:00Z', 'local': '2021-04-01T00:00:00+05:30'}}",,"{'min': 46.78260803222656, 'q02': 54.91304244995117, 'q25': 70.70833206176758, 'median': 91.91666412353516, 'q75': 104.89583587646484, 'q98': 125.06470336914059, 'max': 139.41175842285156, 'avg': 88.58911994195753, 'sd': 21.007833830557175}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-02-28T18:30:00Z', 'local': '2021-03-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-03-31T18:30:00Z', 'local': '2021-04-01T00:00:00+05:30'}}"
72.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-03-31T18:30:00Z', 'local': '2021-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-04-30T18:30:00Z', 'local': '2021-05-01T00:00:00+05:30'}}",,"{'min': 32.11111068725586, 'q02': 33.333610916137694, 'q25': 46.85416793823242, 'median': 66.2859878540039, 'q75': 83.39583206176758, 'q98': 159.46449401855472, 'max': 170.1666717529297, 'avg': 72.5809086390904, 'sd': 34.385334149074865}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 28, 'observedInterval': '672:00:00', 'percentComplete': 93.0, 'percentCoverage': 93.0, 'datetimeFrom': {'utc': '2021-03-31T18:30:00Z', 'local': '2021-04-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-04-30T18:30:00Z', 'local': '2021-05-01T00:00:00+05:30'}}"
48.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-04-30T18:30:00Z', 'local': '2021-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-05-31T18:30:00Z', 'local': '2021-06-01T00:00:00+05:30'}}",,"{'min': 18.714284896850586, 'q02': 18.82761833190918, 'q25': 29.83333396911621, 'median': 47.05882263183594, 'q75': 60.33333206176758, 'q98': 108.81972778320306, 'max': 124.05882263183594, 'avg': 48.708250243088294, 'sd': 24.42982428322391}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 29, 'observedInterval': '696:00:00', 'percentComplete': 94.0, 'percentCoverage': 94.0, 'datetimeFrom': {'utc': '2021-04-30T18:30:00Z', 'local': '2021-05-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-05-31T18:30:00Z', 'local': '2021-06-01T00:00:00+05:30'}}"
44.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-05-31T18:30:00Z', 'local': '2021-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-06-30T18:30:00Z', 'local': '2021-07-01T00:00:00+05:30'}}",,"{'min': 21.75, 'q02': 22.45, 'q25': 35.25, 'median': 41.66666793823242, 'q75': 53.20833206176758, 'q98': 74.34761810302734, 'max': 75.21428680419922, 'avg': 44.53197150394834, 'sd': 15.328304704034712}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 29, 'observedInterval': '696:00:00', 'percentComplete': 97.0, 'percentCoverage': 97.0, 'datetimeFrom': {'utc': '2021-05-31T18:30:00Z', 'local': '2021-06-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-06-30T18:30:00Z', 'local': '2021-07-01T00:00:00+05:30'}}"
36.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-06-30T18:30:00Z', 'local': '2021-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-07-31T18:30:00Z', 'local': '2021-08-01T00:00:00+05:30'}}",,"{'min': 11.533333778381348, 'q02': 17.86040626525879, 'q25': 27.45652198791504, 'median': 35.599998474121094, 'q75': 43.72222137451172, 'q98': 54.91555587768555, 'max': 55.11111068725586, 'avg': 36.03011989593506, 'sd': 10.41928446998599}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 23, 'observedInterval': '552:00:00', 'percentComplete': 74.0, 'percentCoverage': 74.0, 'datetimeFrom': {'utc': '2021-06-30T18:30:00Z', 'local': '2021-07-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-07-25T18:30:00Z', 'local': '2021-07-26T00:00:00+05:30'}}"
34.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-07-31T18:30:00Z', 'local': '2021-08-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-08-31T18:30:00Z', 'local': '2021-09-01T00:00:00+05:30'}}",,"{'min': 17.25, 'q02': 17.350000152587892, 'q25': 27.125, 'median': 30.875, 'q75': 43.0, 'q98': 59.122747192382775, 'max': 68.29412078857422, 'avg': 34.51313281881398, 'sd': 12.220127453735978}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 29, 'observedInterval': '696:00:00', 'percentComplete': 94.0, 'percentCoverage': 94.0, 'datetimeFrom': {'utc': '2021-08-02T18:30:00Z', 'local': '2021-08-03T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-08-31T18:30:00Z', 'local': '2021-09-01T00:00:00+05:30'}}"
27.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-08-31T18:30:00Z', 'local': '2021-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-09-30T18:30:00Z', 'local': '2021-10-01T00:00:00+05:30'}}",,"{'min': 15.416666984558105, 'q02': 16.552500133514403, 'q25': 20.65625, 'median': 25.166666984558105, 'q75': 30.366071701049805, 'q98': 46.72065856933593, 'max': 48.578948974609375, 'avg': 27.387878958384196, 'sd': 8.456664019248723}","{'expectedCount': 30, 'expectedInterval': '720:00:00', 'observedCount': 30, 'observedInterval': '720:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-08-31T18:30:00Z', 'local': '2021-09-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-09-30T18:30:00Z', 'local': '2021-10-01T00:00:00+05:30'}}"
71.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1 month', 'interval': '1 month', 'datetimeFrom': {'utc': '2021-09-30T18:30:00Z', 'local': '2021-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-10-31T18:30:00Z', 'local': '2021-11-01T00:00:00+05:30'}}",,"{'min': 11.916666984558105, 'q02': 20.882500133514405, 'q25': 46.708333015441895, 'median': 62.25, 'q75': 96.57291793823242, 'q98': 147.38392944335934, 'max': 156.7916717529297, 'avg': 71.60246292750041, 'sd': 37.04768791435435}","{'expectedCount': 31, 'expectedInterval': '744:00:00', 'observedCount': 31, 'observedInterval': '744:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2021-09-30T18:30:00Z', 'local': '2021-10-01T00:00:00+05:30'}, 'datetimeTo': {'utc': '2021-10-31T18:30:00Z', 'local': '2021-11-01T00:00:00+05:30'}}"
